Agolada;concello@agolada.es;http://www.agolada.es;986 788 062
							;http://agolada.sedelectronica.gal;http://www.arquivos.depo.es/?1,1382;https://ide.depo.gal/fichas?idConcello=36020
Arbo;alcaldedearbo@gmail.com, oficinas.concellodearbo@gmail.com;http://www.concellodearbo.es;986 665 000
							;http://concellodearbo.sedelectronica.gal/info.0;http://www.arquivos.depo.es/?1,1843;https://ide.depo.gal/fichas?idConcello=36001
Baiona;secretaria@baiona.org;http://www.baiona.org;986 385 050
							;http://baiona.sedelectronica.gal/info.0;http://www.arquivos.depo.es/?1,1216;https://ide.depo.gal/fichas?idConcello=36003
Barro;oficinas@barro.es;http://www.barro.es;986 711 002
							;http://barro.sedelectronica.gal/info.0;http://www.arquivos.depo.es/?1,1411;https://ide.depo.gal/fichas?idConcello=36002
Bueu;concello@concellodebueu.gal;http://www.concellodebueu.gal;986 390 029
							;https://bueu.sedelectronica.gal/info.0;http://www.arquivos.depo.es/?1,4409;https://ide.depo.gal/fichas?idConcello=36004
Caldas de Reis;concello@caldasdereis.com;http://www.caldasdereis.com;986 540 002
							;https://caldasdereis.sedelectronica.gal/info.0;http://www.arquivos.depo.es/?1,1169;https://ide.depo.gal/fichas?idConcello=36005
Cambados;alcaldia@cambados.es;http://www.cambados.es;986 520 902
							;https://cambados.sedelectronica.gal/info.0;http://www.arquivos.depo.es/?1,1170;https://ide.depo.gal/fichas?idConcello=36006
Campo Lameiro;oficinas@campolameiro.com;http://www.campolameiro.com;986 752 034
							;https://campolameiro.sedelectronica.gal/info.0;http://www.arquivos.depo.es/?1,1412;https://ide.depo.gal/fichas?idConcello=36007
Cangas;alcaldia@cangas.gal;http://www.cangas.gal;986 300 050
							;http://cangas.sedelectronica.gal/info.0;http://www.arquivos.depo.es/?1,17522;https://ide.depo.gal/fichas?idConcello=36008
Cañiza, A;info@caniza.org;http://www.caniza.org;986 651 000
							;http://caniza.sedelectronica.es/info.0;http://www.arquivos.depo.es/?1,1168;https://ide.depo.gal/fichas?idConcello=36009
Catoira;concello.catoira@eidolocal.es;http://www.catoira.es;986 546 014
							;http://catoira.sedelectronica.gal/info.6;http://www.arquivos.depo.es/?1,1413;https://ide.depo.gal/fichas?idConcello=36010
Cerdedo-Cotobade;concello@cerdedo-cotobade.gal;http://www.cerdedo-cotobade.gal;986 753 006 (Cerdedo) / 986 760 001  (Carballedo)
							;http://concellodecerdedocotobade.sedelectronica.gal/info.0;http://www.arquivos.depo.es/?1,1172;https://ide.depo.gal/fichas?idConcello=36902
Covelo;rexistro.covelo@fegamp.gal;http://www.concellodecovelo.es;986 650 027
							;http://covelo.sedelectronica.es/info.1;http://www.arquivos.depo.es/?1,1414;https://ide.depo.gal/fichas?idConcello=36013
Crecente;alcaldia@concellocrecente.es;http://www.crecente.es;986 666 300
							;https://crecente.sedelectronica.gal/info.0;http://www.arquivos.depo.es/?1,1415;https://ide.depo.gal/fichas?idConcello=36014
Cuntis;info@concellodecuntis.es;http://www.concellodecuntis.es;986 548 005
							;https://concellodecuntis.sedelectronica.gal/info.0;http://www.arquivos.depo.es/?1,1312;https://ide.depo.gal/fichas?idConcello=36015
Dozón;concello@dozon.gal;http://www.dozon.gal;986 780 471
							;http://www.dozon.org/web/es/sede-electronica-2/;http://www.arquivos.depo.es/?1,1337;https://ide.depo.gal/fichas?idConcello=36016
Estrada, A;info@aestrada.gal;http://www.aestrada.gal;986 570 165
							;http://aestrada.sedelectronica.gal/info.0;http://www.arquivos.depo.es/?1,1313;https://ide.depo.gal/fichas?idConcello=36017
Forcarei;concello.forcarei@forcarei.net;http://www.forcarei.net;986 755 036
							;http://forcarei.sedelectronica.gal/info.0;http://www.arquivos.depo.es/?1,1842;https://ide.depo.gal/fichas?idConcello=36018
Fornelos de Montes;oficinas@fornelos.com;http://www.fornelos.gal;986 768 409
							;http://fornelos.sedelectronica.gal/info.0;http://www.arquivos.depo.es/?1,1290;https://ide.depo.gal/fichas?idConcello=36019
